,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji (1995),Adventure|Children|Fantasy
2,3,Grumpier Old Men (1995),Comedy|Romance
4,5,Father of the Bride Part II (1995),Comedy
5,6,Heat (1995),Action|Crime|Thriller
6,7,Sabrina (1995),Comedy|Romance
9,10,GoldenEye (1995),Action|Adventure|Thriller
10,11,"American President, The (1995)",Comedy|Drama|Romance
13,14,Nixon (1995),Drama
15,16,Casino (1995),Crime|Drama
16,17,Sense and Sensibility (1995),Drama|Romance
17,18,Four Rooms (1995),Comedy
18,19,Ace Ventura: When Nature Calls (1995),Comedy
20,21,Get Shorty (1995),Comedy|Crime|Thriller
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,24,Powder (1995),Drama|Sci-Fi
24,25,Leaving Las Vegas (1995),Drama|Romance
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,31,Dangerous Minds (1995),Drama
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,34,Babe (1995),Children|Drama
35,36,Dead Man Walking (1995),Crime|Drama
38,39,Clueless (1995),Comedy|Romance
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy
44,45,To Die For (1995),Comedy|Drama|Thriller
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
51,52,Mighty Aphrodite (1995),Comedy|Drama|Romance
57,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,62,Mr. Holland's Opus (1995),Drama
69,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
78,79,"Juror, The (1996)",Drama|Thriller
93,95,Broken Arrow (1996),Action|Adventure|Thriller
102,104,Happy Gilmore (1996),Comedy
103,105,"Bridges of Madison County, The (1995)",Drama|Romance
105,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
108,110,Braveheart (1995),Action|Drama|War
109,111,Taxi Driver (1976),Crime|Drama|Thriller
110,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
133,135,Down Periscope (1996),Comedy
139,141,"Birdcage, The (1996)",Comedy
143,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
148,150,Apollo 13 (1995),Adventure|Drama|IMAX
149,151,Rob Roy (1995),Action|Drama|Romance|War
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
156,158,Casper (1995),Adventure|Children
158,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
159,161,Crimson Tide (1995),Drama|Thriller|War
160,162,Crumb (1994),Documentary
161,163,Desperado (1995),Action|Romance|Western
163,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166,168,First Knight (1995),Action|Drama|Romance
168,170,Hackers (1995),Action|Adventure|Crime|Thriller
170,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
171,173,Judge Dredd (1995),Action|Crime|Sci-Fi
178,180,Mallrats (1995),Comedy|Romance
183,185,"Net, The (1995)",Action|Crime|Thriller
184,186,Nine Months (1995),Comedy|Romance
191,193,Showgirls (1995),Drama
192,194,Smoke (1995),Comedy|Drama
194,196,Species (1995),Horror|Sci-Fi
196,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
202,204,Under Siege 2: Dark Territory (1995),Action
205,207,"Walk in the Clouds, A (1995)",Drama|Romance
206,208,Waterworld (1995),Action|Adventure|Sci-Fi
213,215,Before Sunrise (1995),Drama|Romance
214,216,Billy Madison (1995),Comedy
219,222,Circle of Friends (1995),Drama|Romance
220,223,Clerks (1994),Comedy
221,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
222,225,Disclosure (1994),Drama|Thriller
227,230,Dolores Claiborne (1995),Drama|Thriller
228,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
229,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
232,235,Ed Wood (1994),Comedy|Drama
233,236,French Kiss (1995),Action|Comedy|Romance
234,237,Forget Paris (1995),Comedy|Romance
243,246,Hoop Dreams (1994),Documentary
244,247,Heavenly Creatures (1994),Crime|Drama
249,252,I.Q. (1994),Comedy|Romance
250,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
253,256,Junior (1994),Comedy|Sci-Fi
257,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
258,261,Little Women (1994),Drama
262,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
263,266,Legends of the Fall (1994),Drama|Romance|War|Western
269,272,"Madness of King George, The (1994)",Comedy|Drama
270,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
274,277,Miracle on 34th Street (1994),Drama
279,282,Nell (1994),Drama
285,288,Natural Born Killers (1994),Action|Crime|Thriller
288,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
289,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
292,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
296,300,Quiz Show (1994),Drama
299,303,"Quick and the Dead, The (1995)",Action|Thriller|Western
302,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
303,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
304,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
311,315,"Specialist, The (1994)",Action|Drama|Thriller
312,316,Stargate (1994),Action|Adventure|Sci-Fi
313,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
314,318,"Shawshank Redemption, The (1994)",Crime|Drama
315,319,Shallow Grave (1994),Comedy|Drama|Thriller
322,327,Tank Girl (1995),Action|Comedy|Sci-Fi
324,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
328,333,Tommy Boy (1995),Comedy
332,337,What's Eating Gilbert Grape (1993),Drama
334,339,While You Were Sleeping (1995),Comedy|Romance
337,342,Muriel's Wedding (1994),Comedy
339,344,Ace Ventura: Pet Detective (1994),Comedy
340,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
343,348,Bullets Over Broadway (1994),Comedy
344,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
345,350,"Client, The (1994)",Drama|Mystery|Thriller
348,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
350,355,"Flintstones, The (1994)",Children|Comedy|Fantasy
351,356,Forrest Gump (1994),Comedy|Drama|Romance|War
352,357,Four Weddings and a Funeral (1994),Comedy|Romance
357,362,"Jungle Book, The (1994)",Adventure|Children|Romance
359,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
362,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
363,368,Maverick (1994),Adventure|Comedy|Western
365,370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
367,372,Reality Bites (1994),Comedy|Drama|Romance
371,376,"River Wild, The (1994)",Action|Thriller
372,377,Speed (1994),Action|Romance|Thriller
374,379,Timecop (1994),Action|Sci-Fi|Thriller
375,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
377,382,Wolf (1994),Drama|Horror|Romance|Thriller
405,410,Addams Family Values (1993),Children|Comedy|Fantasy
408,413,Airheads (1994),Comedy
415,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
426,431,Carlito's Way (1993),Crime|Drama
427,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
429,434,Cliffhanger (1993),Action|Adventure|Thriller
430,435,Coneheads (1993),Comedy|Sci-Fi
435,440,Dave (1993),Comedy|Romance
436,441,Dazed and Confused (1993),Comedy
437,442,Demolition Man (1993),Action|Adventure|Sci-Fi
449,454,"Firm, The (1993)",Drama|Thriller
450,455,Free Willy (1993),Adventure|Children|Drama
452,457,"Fugitive, The (1993)",Thriller
461,466,Hot Shots! Part Deux (1993),Action|Comedy|War
463,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
466,471,"Hudsucker Proxy, The (1994)",Comedy
469,474,In the Line of Fire (1993),Action|Thriller
470,475,In the Name of the Father (1993),Drama
475,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
480,485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
489,494,Executive Decision (1996),Action|Adventure|Thriller
492,497,Much Ado About Nothing (1993),Comedy|Romance
495,500,Mrs. Doubtfire (1993),Comedy|Drama
503,508,Philadelphia (1993),Drama
504,509,"Piano, The (1993)",Drama|Romance
510,515,"Remains of the Day, The (1993)",Drama|Romance
515,520,Robin Hood: Men in Tights (1993),Comedy
519,524,Rudy (1993),Drama
522,527,Schindler's List (1993),Drama|War
524,529,Searching for Bobby Fischer (1993),Drama
526,531,"Secret Garden, The (1993)",Children|Drama
527,532,Serial Mom (1994),Comedy|Crime|Horror
530,535,Short Cuts (1993),Drama
534,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
536,541,Blade Runner (1982),Action|Sci-Fi|Thriller
538,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
540,546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
545,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
546,552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
547,553,Tombstone (1993),Action|Drama|Western
549,555,True Romance (1993),Crime|Thriller
555,562,Welcome to the Dollhouse (1995),Comedy|Drama
577,585,"Brady Bunch Movie, The (1995)",Comedy
578,586,Home Alone (1990),Children|Comedy
579,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
580,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
581,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
582,590,Dances with Wolves (1990),Adventure|Drama|Western
584,592,Batman (1989),Action|Crime|Thriller
585,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
586,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
587,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
588,596,Pinocchio (1940),Animation|Children|Fantasy|Musical
589,597,Pretty Woman (1990),Comedy|Romance
600,608,Fargo (1996),Comedy|Crime|Drama|Thriller
602,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
608,616,"Aristocats, The (1970)",Animation|Children
618,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
627,637,Sgt. Bilko (1996),Comedy
636,647,Courage Under Fire (1996),Action|Crime|Drama|War
637,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
642,653,Dragonheart (1996),Action|Adventure|Fantasy
650,661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
659,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
661,673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
693,708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
704,719,Multiplicity (1996),Comedy
705,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
709,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
718,733,"Rock, The (1996)",Action|Adventure|Thriller
721,736,Twister (1996),Action|Adventure|Romance|Thriller
725,741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
727,743,Spy Hard (1996),Comedy
729,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
734,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
746,762,Striptease (1996),Comedy|Crime
762,778,Trainspotting (1996),Comedy|Crime|Drama
764,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
767,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
768,784,"Cable Guy, The (1996)",Comedy|Thriller
769,785,Kingpin (1996),Comedy
770,786,Eraser (1996),Action|Drama|Thriller
772,788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
783,799,"Frighteners, The (1996)",Comedy|Horror|Thriller
784,800,Lone Star (1996),Drama|Mystery|Western
786,802,Phenomenon (1996),Drama|Romance
789,805,"Time to Kill, A (1996)",Drama|Thriller
812,830,"First Wives Club, The (1996)",Comedy
814,832,Ransom (1996),Crime|Thriller
819,837,Matilda (1996),Children|Comedy|Fantasy
820,838,Emma (1996),Comedy|Drama|Romance
831,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
834,852,Tin Cup (1996),Comedy|Drama|Romance
840,858,"Godfather, The (1972)",Crime|Drama
847,866,Bound (1996),Crime|Drama|Romance|Thriller
861,880,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
877,898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
878,899,Singin' in the Rain (1952),Comedy|Musical|Romance
881,902,Breakfast at Tiffany's (1961),Drama|Romance
882,903,Vertigo (1958),Drama|Mystery|Romance|Thriller
883,904,Rear Window (1954),Mystery|Thriller
887,908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
888,909,"Apartment, The (1960)",Comedy|Drama|Romance
889,910,Some Like It Hot (1959),Comedy|Crime
891,912,Casablanca (1942),Drama|Romance
892,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
893,914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
894,915,Sabrina (1954),Comedy|Romance
895,916,Roman Holiday (1953),Comedy|Drama|Romance
898,919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
899,920,Gone with the Wind (1939),Drama|Romance|War
901,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
902,923,Citizen Kane (1941),Drama|Mystery
903,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
905,926,All About Eve (1950),Drama
909,930,Notorious (1946),Film-Noir|Romance|Thriller
932,953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
933,954,Mr. Smith Goes to Washington (1939),Drama
947,968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
948,969,"African Queen, The (1951)",Adventure|Comedy|Romance|War
996,1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
997,1020,Cool Runnings (1993),Comedy
999,1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
1002,1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
1004,1027,Robin Hood: Prince of Thieves (1991),Adventure|Drama
1005,1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
1006,1029,Dumbo (1941),Animation|Children|Drama|Musical
1009,1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1012,1035,"Sound of Music, The (1965)",Musical|Romance
1013,1036,Die Hard (1988),Action|Crime|Thriller
1014,1037,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
1018,1041,Secrets & Lies (1996),Drama
1019,1042,That Thing You Do! (1996),Comedy|Drama
1024,1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
1035,1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
1036,1060,Swingers (1996),Comedy|Drama
1037,1061,Sleepers (1996),Thriller
1047,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1050,1077,Sleeper (1973),Comedy|Sci-Fi
1052,1079,"Fish Called Wanda, A (1988)",Comedy|Crime
1053,1080,Monty Python's Life of Brian (1979),Comedy
1057,1084,Bonnie and Clyde (1967),Crime|Drama
1059,1086,Dial M for Murder (1954),Crime|Mystery|Thriller
1061,1088,Dirty Dancing (1987),Drama|Musical|Romance
1062,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller
1063,1090,Platoon (1986),Drama|War
1065,1092,Basic Instinct (1992),Crime|Mystery|Thriller
1066,1093,"Doors, The (1991)",Drama
1067,1094,"Crying Game, The (1992)",Drama|Romance|Thriller
1068,1095,Glengarry Glen Ross (1992),Drama
1070,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1073,1100,Days of Thunder (1990),Action|Drama|Romance
1074,1101,Top Gun (1986),Action|Romance
1076,1103,Rebel Without a Cause (1955),Drama
1077,1104,"Streetcar Named Desire, A (1951)",Drama
1092,1120,"People vs. Larry Flynt, The (1996)",Comedy|Drama
1099,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1101,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
1108,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1120,1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
1144,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
1147,1175,Delicatessen (1991),Comedy|Drama|Romance
1151,1179,"Grifters, The (1990)",Crime|Drama|Film-Noir
1154,1183,"English Patient, The (1996)",Drama|Romance|War
1156,1185,My Left Foot (1989),Drama
1157,1186,"Sex, Lies, and Videotape (1989)",Drama
1159,1188,Strictly Ballroom (1992),Comedy|Romance
1164,1193,One Flew Over the Cuckoo's Nest (1975),Drama
1166,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1167,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1168,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1169,1199,Brazil (1985),Fantasy|Sci-Fi
1170,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1171,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
1173,1203,12 Angry Men (1957),Drama
1174,1204,Lawrence of Arabia (1962),Adventure|Drama|War
1175,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1176,1207,To Kill a Mockingbird (1962),Drama
1177,1208,Apocalypse Now (1979),Action|Drama|War
1178,1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
1179,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1181,1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
1182,1213,Goodfellas (1990),Crime|Drama
1183,1214,Alien (1979),Horror|Sci-Fi
1184,1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
1186,1217,Ran (1985),Drama|War
1188,1219,Psycho (1960),Crime|Horror
1189,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
1190,1221,"Godfather: Part II, The (1974)",Crime|Drama
1191,1222,Full Metal Jacket (1987),Drama|War
1192,1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
1194,1225,Amadeus (1984),Drama
1197,1228,Raging Bull (1980),Drama
1198,1230,Annie Hall (1977),Comedy|Romance
1199,1231,"Right Stuff, The (1983)",Drama
1201,1233,"Boot, Das (Boat, The) (1981)",Action|Drama|War
1202,1234,"Sting, The (1973)",Comedy|Crime
1203,1235,Harold and Maude (1971),Comedy|Drama|Romance
1205,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
1207,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1209,1242,Glory (1989),Drama|War
1211,1244,Manhattan (1979),Comedy|Drama|Romance
1212,1245,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller
1213,1246,Dead Poets Society (1989),Drama
1214,1247,"Graduate, The (1967)",Comedy|Drama|Romance
1216,1249,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
1217,1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
1219,1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
1220,1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller
1221,1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western
1223,1256,Duck Soup (1933),Comedy|Musical|War
1224,1257,Better Off Dead... (1985),Comedy|Romance
1225,1258,"Shining, The (1980)",Horror
1226,1259,Stand by Me (1986),Adventure|Drama
1228,1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror
1229,1262,"Great Escape, The (1963)",Action|Adventure|Drama|War
1230,1263,"Deer Hunter, The (1978)",Drama|War
1232,1265,Groundhog Day (1993),Comedy|Fantasy|Romance
1233,1266,Unforgiven (1992),Drama|Western
1234,1267,"Manchurian Candidate, The (1962)",Crime|Thriller|War
1236,1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller
1237,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1238,1271,Fried Green Tomatoes (1991),Comedy|Crime|Drama
1239,1272,Patton (1970),Drama|War
1241,1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
1242,1275,Highlander (1986),Action|Adventure|Fantasy
1243,1276,Cool Hand Luke (1967),Drama
1245,1278,Young Frankenstein (1974),Comedy|Fantasy
1249,1282,Fantasia (1940),Animation|Children|Fantasy|Musical
1250,1283,High Noon (1952),Drama|Western
1251,1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
1252,1285,Heathers (1989),Comedy
1254,1287,Ben-Hur (1959),Action|Adventure|Drama
1255,1288,This Is Spinal Tap (1984),Comedy
1258,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1259,1292,Being There (1979),Comedy|Drama
1260,1293,Gandhi (1982),Drama
1262,1296,"Room with a View, A (1986)",Drama|Romance
1264,1298,Pink Floyd: The Wall (1982),Drama|Musical
1265,1299,"Killing Fields, The (1984)",Drama|War
1268,1302,Field of Dreams (1989),Children|Drama|Fantasy
1270,1304,Butch Cassidy and the Sundance Kid (1969),Action|Western
1273,1307,When Harry Met Sally... (1989),Comedy|Romance
1286,1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
1287,1321,"American Werewolf in London, An (1981)",Comedy|Horror|Thriller
1299,1333,"Birds, The (1963)",Horror|Thriller
1304,1339,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
1308,1343,Cape Fear (1991),Thriller
1310,1345,Carrie (1976),Drama|Fantasy|Horror|Thriller
1312,1347,"Nightmare on Elm Street, A (1984)",Horror|Thriller
1315,1350,"Omen, The (1976)",Horror|Mystery|Thriller
1321,1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1322,1357,Shine (1996),Drama|Romance
1323,1358,Sling Blade (1996),Drama
1331,1367,101 Dalmatians (1996),Adventure|Children|Comedy
1334,1370,Die Hard 2 (1990),Action|Adventure|Thriller
1335,1371,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi
1336,1372,Star Trek VI: The Undiscovered Country (1991),Action|Mystery|Sci-Fi
1337,1373,Star Trek V: The Final Frontier (1989),Action|Sci-Fi
1338,1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1339,1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1340,1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
1341,1377,Batman Returns (1992),Action|Crime
1342,1378,Young Guns (1988),Action|Comedy|Western
1344,1380,Grease (1978),Comedy|Musical|Romance
1349,1385,Under Siege (1992),Action|Drama|Thriller
1351,1387,Jaws (1975),Action|Horror
1355,1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1357,1393,Jerry Maguire (1996),Drama|Romance
1358,1394,Raising Arizona (1987),Comedy
1360,1396,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
1367,1405,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime
1369,1407,Scream (1996),Comedy|Horror|Mystery|Thriller
1370,1408,"Last of the Mohicans, The (1992)",Action|Romance|War|Western
1371,1409,Michael (1996),Comedy|Drama|Fantasy|Romance
1373,1411,Hamlet (1996),Crime|Drama|Romance
1398,1438,Dante's Peak (1997),Action|Thriller
1401,1441,Benny & Joon (1993),Comedy|Romance
1409,1449,Waiting for Guffman (1996),Comedy
1424,1466,Donnie Brasco (1997),Crime|Drama
1433,1476,Private Parts (1997),Comedy|Drama
1435,1479,"Saint, The (1997)",Action|Romance|Sci-Fi|Thriller
1440,1485,Liar Liar (1997),Comedy
1451,1499,Anaconda (1997),Action|Adventure|Thriller
1452,1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance
1462,1513,Romy and Michele's High School Reunion (1997),Comedy
1466,1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1475,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1489,1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
1497,1552,Con Air (1997),Action|Adventure|Thriller
1501,1556,Speed 2: Cruise Control (1997),Action|Romance|Thriller
